Country,Region,Site,Zone ,Latitude (DD),Longitude (DD),Period,Phase,Start BP,End BP,Radiocarbon Dates (BP),Sourc(es),Table(s) Included,Total Chipped Stone,Total Chert ,Total Obsidian,Total Blade,Total Obstdion/Total Chipped Stone,Blade Ratio (Total Blades/Total Obsidian),Blade Ratio (Total Blades/Total Chipped Stone),P&G Platform,P&G Ratio,Notes,Comments,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),11K-6(Iv/114 lot 8),14.83518056,-89.14545833,Early Classic,Acbi,1550,1350,,Aoyama (1999),A2,14,0,14,7,1,0.5,0.5,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),11L-3(IV/116 lot 14),14.83349167,-89.143875,Early Classic,Acbi,1550,1350,,Aoyama (1999),"A1, A2.",167,37,130,62,0.778443114,0.476923077,0.371257485,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),"11L-3(IV/116 lot 28,33)",14.83349167,-89.143875,Early Classic,Acbi,1550,1350,,Aoyama (1999),"A1, A2.",275,31,244,123,0.887272727,0.504098361,0.447272727,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),"11L-3(IV/116 lot 40,41,42)",14.83349167,-89.143875,Early Classic,Acbi,1550,1350,,Aoyama (1999),"A1, A2.",538,104,434,269,0.80669145,0.619815668,0.5,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),11K-18(IV/120 lot 10),14.83345278,-89.14823611,Early Classic,Acbi,1550,1350,,Aoyama (1999),"A1, A2.",28,10,18,11,0.642857143,0.611111111,0.392857143,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),10L-17(IV/121 lot 9),14.83814722,-89.14314444,Early Classic,Acbi,1550,1350,,Aoyama (1999),"A1, A2.",186,42,144,114,0.774193548,0.791666667,0.612903226,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),10L-17(IV/121 lot 10),14.83814722,-89.14314444,Early Classic,Acbi,1550,1350,,Aoyama (1999),"A1, A2.",130,18,112,71,0.861538462,0.633928571,0.546153846,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),10L-17(IV/121 lot 35),14.83814722,-89.14314444,Early Classic,Acbi,1550,1350,,Aoyama (1999),"A1, A2.",392,2,390,144,0.994897959,0.369230769,0.367346939,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),10L-18(IV/122),14.83831389,-89.14522778,Early Classic,Acbi,1550,1350,,Aoyama (1999),"A1, A2.",76,20,56,53,0.736842105,0.946428571,0.697368421,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),10L-18(IV/123),14.83980278,-89.14470556,Early Classic,Acbi,1550,1350,,Aoyama (1999),"A1, A2.",112,17,95,79,0.848214286,0.831578947,0.705357143,,,From the Vega Physiographic Zone,,,,,,,,,,,
