Country,Region,Site,Zone ,Latitude (DD),Longitude (DD),Period,Phase,Start BP,End BP,Radiocarbon Dates (BP),Sourc(es),Table(s) Included,Total Chipped Stone,Total Chert ,Total Obsidian,Total Blade,Total Obstdion/Total Chipped Stone,Blade Ratio (Total Blades/Total Obsidian),Blade Ratio (Total Blades/Total Chipped Stone),,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),V.S.(IV/16),14.83723889,-89.17673611,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),A9,8,0,8,0,1,0,0,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),V.S(IV/17),14.84194167,-89.17068889,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",43,6,37,0,0.860465116,0,0,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),11E-2(IV/166/5),14.83887222,-89.17985278,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),A8,4,4,0,0,0,0,0,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),11E-2(IV/166/6),14.83887222,-89.17985278,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),A8,5,5,0,0,0,0,0,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),IV/39,14.82288333,-89.17405833,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),A8,2,2,0,0,0,0,0,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),1.10E-01(IV/166/5),14.83887222,-89.17985278,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),A9,20,0,20,8,1,0.4,0.4,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),1.10E-01(IV/166/6),14.83887222,-89.17985278,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),A9,13,0,13,10,1,0.769230769,0.769230769,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),1.10E-01(IV/166/12),14.83887222,-89.17985278,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),A9,5,0,5,4,1,0.8,0.8,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Estanzuela),IV/39,14.82288333,-89.17405833,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),A9,14,0,14,1,1,0.071428571,0.071428571,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),IV/40,14.82181389,-89.17795556,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",8,1,7,1,0.875,0.142857143,0.125,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),14F-2(IV/41),14.82348889,-89.1724,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",16,4,12,6,0.75,0.5,0.375,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Estanzuela),IV/51,14.82153889,-89.17568611,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",21,15,6,1,0.285714286,0.166666667,0.047619048,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Estanzuela),IV/52,14.82030556,-89.178675,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",71,4,67,6,0.943661972,0.089552239,0.084507042,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Estanzuela),14F-1(IV/53),14.82579167,-89.17154444,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",50,20,30,9,0.6,0.3,0.18,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Estanzuela),13G-1(IV/151),14.82593333,88.83195833,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",37,6,31,22,0.837837838,0.709677419,0.594594595,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Algodonal),12G-2(IV/36),14.83151389,-89.16678889,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",125,83,42,8,0.336,0.19047619,0.064,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Algodonal),12G-5(IV/49),14.83259167,-89.164675,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",154,70,84,70,0.545454545,0.833333333,0.454545455,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Algodonal),12G-4(IV/146),14.83363611,-89.16633889,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",82,41,41,16,0.5,0.390243902,0.195121951,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Algodonal),IV/147,14.83949167,-89.16509167,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",208,102,106,10,0.509615385,0.094339623,0.048076923,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Yaragua),10H-1(IV/164),14.84318611,-89.16523333,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",20,7,13,8,0.65,0.615384615,0.4,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Titichon),IV/71,14.84598056,-89.12035278,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",126,24,102,65,0.80952381,0.637254902,0.515873016,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Titichon),9P-5(IV/105),14.838575,-89.12338889,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",151,27,124,111,0.821192053,0.89516129,0.735099338,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Titichon),8O-2(IV/178),14.84747222,-89.12917778,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",66,12,54,31,0.818181818,0.574074074,0.46969697,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Titichon),9P-1(IV/179),14.84016111,-89.121825,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",23,3,20,14,0.869565217,0.7,0.608695652,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(San Lucas),IV/102,14.83334722,-89.13424722,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),A9,11,0,11,2,1,0.181818182,0.181818182,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(San Lucas),IV/103,14.83416667,-89.12913611,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",105,8,97,89,0.923809524,0.917525773,0.847619048,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(San Lucas),10N-8(IV/176),14.83601389,-89.130525,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",103,4,99,75,0.961165049,0.757575758,0.72815534,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(San Lucas),11N-4(IV/177),14.83476944,-89.13413889,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",52,12,40,37,0.769230769,0.925,0.711538462,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Messa de Petapilla),5O-8(IV/131),14.85934444,-89.12550278,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),A9,0,0,0,19,0,0,0,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Messa de Petapilla),5O-1(IV/132),14.86186111,-89.12481944,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",94,4,90,82,0.957446809,0.911111111,0.872340426,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Messa de Petapilla),IV/159,14.86627222,-89.12289722,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",17,13,4,2,0.235294118,0.5,0.117647059,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Messa de Petapilla),4O-14(IV/160),14.865975,-89.1249,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",15,10,5,3,0.333333333,0.6,0.2,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Rastrojon),6N-6(IV/157),14.86033056,-89.12890278,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",28,21,7,3,0.25,0.428571429,0.107142857,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Rastrojon),6N-8(IV/170),14.85815833,-89.12462222,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",15,4,11,6,0.733333333,0.545454545,0.4,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Rastrojon),6N-1(IV/162),14.85826389,-89.12985833,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",34,3,31,22,0.911764706,0.709677419,0.647058824,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Plan De Moro),8K-6(IV/92),14.85320833,-89.14040833,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",50,16,34,29,0.68,0.852941176,0.58,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Plan De Moro),7L-6(IV/94),14.85075833,-89.14393333,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",22,11,11,16,0.5,1.454545455,0.727272727,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Plan De Moro),7L-3(IV/95),14.85261944,-89.14245278,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",32,4,28,21,0.875,0.75,0.65625,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Plan De Moro),8L-6(IV/145),14.84995,-89.1422,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",13,5,8,6,0.615384615,0.75,0.461538462,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Plan De Moro),8L-3(IV/168),14.84949167,-89.14421389,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",57,17,40,30,0.701754386,0.75,0.526315789,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Chorro),7L-14(IV/96),14.85336667,-89.13224167,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",16,3,13,8,0.8125,0.615384615,0.5,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Chorro),7N-8(IV/97),14.85349167,-89.12824167,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",188,31,157,121,0.835106383,0.770700637,0.643617021,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Chorro),IV/127,14.85468889,-89.13296944,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",184,57,127,94,0.690217391,0.74015748,0.510869565,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Chorro),7M-15(IV/148),14.85323056,-89.13645278,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),A9,5,0,5,4,1,0.8,0.8,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Chorro),7M-2(IV/149),14.85246667,-89.13505278,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),A9,5,0,5,5,1,1,1,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Comedero/Salamar),9K-11(IV/89),14.84443889,-89.14787778,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",78,3,75,54,0.961538462,0.72,0.692307692,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Comedero/Salamar),9K-13(IV/89),14.84443889,-89.14787778,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",120,10,110,90,0.916666667,0.818181818,0.75,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Comedero/Salamar),9J-5(IV/141),14.84490833,-89.15193611,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",28,2,26,22,0.928571429,0.846153846,0.785714286,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Comedero/Salamar),9J-2(IV/142),14.8491,-89.15124722,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),A9,3,0,3,3,1,1,1,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Comedero/Salamar),IV/150,14.84825556,-89.14118889,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",28,10,18,13,0.642857143,0.722222222,0.464285714,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Las Sepulturas),9N-8(IV/111),14.83985,-89.13517222,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",506,65,441,399,0.871541502,0.904761905,0.788537549,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Las Sepulturas),"9N-8(*8,20)",14.83873889,-89.13519722,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",191,61,130,96,0.680628272,0.738461538,0.502617801,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Las Sepulturas),8N-11(IV/82),14.84645278,-89.133075,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",218,23,195,142,0.894495413,0.728205128,0.651376147,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Las Sepulturas),8N-11(IV/138),14.84714722,-89.135425,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",14,1,13,11,0.928571429,0.846153846,0.785714286,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Las Sepulturas),9M-19(IV/126),14.84238056,-89.136675,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",90,4,86,59,0.955555556,0.686046512,0.655555556,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Las Sepulturas),9M-19(IV/144),14.84261944,-89.13777222,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",44,5,39,18,0.886363636,0.461538462,0.409090909,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Las Sepulturas),10M-2(IV/143),14.84187222,-89.13839167,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",88,16,72,59,0.818181818,0.819444444,0.670454545,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Las Sepulturas),9M-13(IV/165),14.84428889,-89.137725,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",57,1,56,48,0.98245614,0.857142857,0.842105263,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),10K-12(IV/79),14.83658056,-89.14695556,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),A8,62,62,,,0,0,0,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),1K-12(IV/79),14.83658056,-89.14695556,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),A9,116,0,116,89,1,0.767241379,0.767241379,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),10J-11(IV/80),14.83706667,-89.15036944,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",40,16,24,20,0.6,0.833333333,0.5,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),11L-7(IV/83),14.83371111,-89.14248889,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",70,15,55,31,0.785714286,0.563636364,0.442857143,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),11L-8(IV/83),14.83371111,-89.14248889,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",283,272,11,1,0.038869258,0.090909091,0.003533569,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),IV/99,14.83348889,-89.14211667,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",562,109,453,289,0.806049822,0.637969095,0.514234875,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),11L-12(IV/99),14.83348889,-89.14211667,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",25,3,22,12,0.88,0.545454545,0.48,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),11L-15(IV/112),14.83272778,-89.14340278,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",91,31,60,47,0.659340659,0.783333333,0.516483516,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),11L-15(IV/115),14.833125,-89.145075,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),A9,72,,72,42,1,0.583333333,0.583333333,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),10K-11(IV/113),14.83633056,-89.14585278,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",23,9,14,11,0.608695652,0.785714286,0.47826087,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),11K-3(IV/113),14.83633056,-89.14585278,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",30,8,22,18,0.733333333,0.818181818,0.6,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),11K-6(IV/114),14.83518056,-89.14545833,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",98,9,89,70,0.908163265,0.786516854,0.714285714,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),11L-3(IV/116),14.83349167,-89.143875,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",232,67,165,126,0.711206897,0.763636364,0.543103448,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),11K-18(IV/120),14.83345278,-89.14823611,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",43,25,18,13,0.418604651,0.722222222,0.302325581,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),10L-17(IV/121),14.83814722,-89.14314444,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",327,61,266,193,0.813455657,0.72556391,0.590214067,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),10L-17(IV/121/11),14.83814722,-89.14314444,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",321,2,319,169,0.99376947,0.529780564,0.526479751,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),10L-16(IV/122),14.83831389,-89.14522778,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",53,14,39,29,0.735849057,0.743589744,0.547169811,,,,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),10L-18(IV/122),14.83831389,-89.14522778,Late Classic,Coner,1350,1050,n/a,Aoyama (1999),"A8,A9.",209,35,174,160,0.832535885,0.91954023,0.765550239,,,,,,,,,,,,,,
